index	left	right	given	chi^2	p	dof	Holm–Bonferroni level	flagged
31	hgnc:16877	hgnc:6025	hgnc:29233|hgnc:9235	0.0	0		0.016666666666666666	True
31	hgnc:29233	hgnc:9235	hgnc:16877	0.0	0		0.025	True
32	hgnc:10513	hgnc:11898	hgnc:5208	0.0	0		0.016666666666666666	True
32	hgnc:5208	hgnc:6025	hgnc:10513|hgnc:11898	0.0	0		0.025	True
33	hgnc:12524	hgnc:6881	hgnc:11926	0.0	0		0.016666666666666666	True
33	hgnc:11926	hgnc:6091	hgnc:12524|hgnc:6881	0.0	0		0.025	True
34	hgnc:1884	hgnc:620	hgnc:1455|hgnc:4191	0.0	0		0.016666666666666666	True
34	hgnc:1455	hgnc:4191	hgnc:1884	0.0	0		0.025	True
35	hgnc:1884	hgnc:620	hgnc:11291|hgnc:4191	0.0	0		0.016666666666666666	True
35	hgnc:11291	hgnc:4191	hgnc:1884	0.0	0		0.025	True
36	hgnc:11642	hgnc:6204	hgnc:28717	0.0	0		0.016666666666666666	True
36	hgnc:28717	hgnc:6467	hgnc:11642|hgnc:6204	0.0	0		0.025	True
37	hgnc:11362	hgnc:9212	hgnc:2438	0.0	0		0.016666666666666666	True
37	hgnc:2438	hgnc:6467	hgnc:11362|hgnc:9212	0.0	0		0.025	True
38	hgnc:11848	hgnc:3179	hgnc:19157	0.0	0		0.016666666666666666	True
38	hgnc:19157	hgnc:667	hgnc:11848|hgnc:3179	0.0	0		0.025	True
39	hgnc:15934	hgnc:6768	hgnc:646|hgnc:6720	0.0	0		0.016666666666666666	True
39	hgnc:646	hgnc:6720	hgnc:15934	0.0	0		0.025	True
40	hgnc:31542	hgnc:646	hgnc:15934	0.0	0		0.016666666666666666	True
40	hgnc:15934	hgnc:6768	hgnc:31542|hgnc:646	0.0	0		0.025	True
41	hgnc:31542	hgnc:646	hgnc:15934	0.0	0		0.016666666666666666	True
41	hgnc:15934	hgnc:6768	hgnc:31542|hgnc:646	0.0	0		0.025	True
42	hgnc:6014	hgnc:6848	hgnc:7777	0.0	0		0.016666666666666666	True
42	hgnc:6877	hgnc:7777	hgnc:6014|hgnc:6848	0.0	0		0.025	True
43	hgnc:16028	hgnc:195	hgnc:12862	0.0	0		0.016666666666666666	True
43	hgnc:12862	hgnc:6886	hgnc:16028|hgnc:195	0.0	0		0.025	True
44	hgnc:4983	hgnc:6553	hgnc:8743	0.0	0		0.016666666666666666	True
44	hgnc:7155	hgnc:8743	hgnc:4983|hgnc:6553	0.0	0		0.025	True
45	hgnc:4983	hgnc:6553	hgnc:8743	0.0	0		0.016666666666666666	True
45	hgnc:7155	hgnc:8743	hgnc:4983|hgnc:6553	0.0	0		0.025	True
46	hgnc:7166	hgnc:8861	hgnc:3488|hgnc:583	0.0	0		0.016666666666666666	True
46	hgnc:3488	hgnc:583	hgnc:8861	0.0	0		0.025	True
47	hgnc:4854	hgnc:7173	hgnc:12933|hgnc:8893	0.0	0		0.016666666666666666	True
