u	x	m	y	r1.belief	r2.belief	r3.belief	r4.belief
hgnc:19680	hgnc:9748	hgnc:602	hgnc:932	0.95	0.99	0.95	0.98
hgnc:4004	hgnc:2707	hgnc:259	hgnc:9437	0.95	0.95	0.95	0.99
hgnc:11822	hgnc:190	hgnc:3221	hgnc:9611	1.0	0.95	0.98	0.95
hgnc:9607	hgnc:12716	hgnc:4191	hgnc:9958	0.98	0.95	0.95	0.95
hgnc:11517	hgnc:9236	hgnc:7562	hgnc:10293	0.95	0.95	0.95	0.95
hgnc:11927	hgnc:8748	hgnc:9605	hgnc:10620	0.95	0.95	0.95	0.95
hgnc:8506	hgnc:644	hgnc:11120	hgnc:10637	1.0	0.95	0.95	0.98
hgnc:10864	hgnc:2515	hgnc:18348	hgnc:10809	0.95	0.98	0.95	0.95
hgnc:6364	hgnc:11768	hgnc:11778	hgnc:11138	1.0	0.95	0.95	0.95
hgnc:6364	hgnc:11768	hgnc:11778	hgnc:11138	1.0	0.99	0.95	0.95
hgnc:16953	hgnc:4852	hgnc:6349	hgnc:11817	1.0	0.95	0.95	0.95
hgnc:16953	hgnc:4852	hgnc:6349	hgnc:11817	0.95	0.95	0.95	0.95
hgnc:259	hgnc:9445	hgnc:9644	hgnc:11850	0.95	0.99	0.95	0.95
hgnc:5464	hgnc:5208	hgnc:11898	hgnc:11926	1.0	0.95	0.99	0.95
hgnc:4261	hgnc:6667	hgnc:12428	hgnc:12517	0.95	0.99	0.98	0.98
hgnc:3818	hgnc:2333	hgnc:5962	hgnc:12692	0.95	0.98	0.98	0.95
hgnc:11517	hgnc:5981	hgnc:10617	hgnc:14005	0.95	0.95	0.99	0.95
hgnc:259	hgnc:11329	hgnc:30932	hgnc:1504	0.95	0.95	0.99	1.0
hgnc:259	hgnc:11329	hgnc:11652	hgnc:1504	0.95	0.95	1.0	1.0
hgnc:3113	hgnc:8743	hgnc:7225	hgnc:1511	0.99	0.95	0.95	0.99
hgnc:1514	hgnc:12441	hgnc:11920	hgnc:16400	0.99	0.98	0.95	1.0
hgnc:11237	hgnc:12441	hgnc:11920	hgnc:16400	0.95	0.98	0.95	1.0
hgnc:11919	hgnc:8537	hgnc:16642	hgnc:1667	1.0	0.98	0.99	0.95
