,60,100,140,200
0,0.066851993338621,0.05978364847736172,0.08918221593618261,0.09468344084936064
1,0.1774030631149915,0.13374027205491462,0.1063770030867727,0.05289831889481947
2,0.052060661981477865,0.05157487377227326,0.04673847531484198,0.026316061994272437
3,0.05089857173720967,0.06024000460941249,0.07485541428720749,0.044207515308612305
4,0.07805173979399933,0.07973558629655188,0.07123674577813299,0.03693186244056602
5,0.017831026899271997,0.05854593917713334,0.011657167207543069,0.012982353137699479
6,0.060881345354093994,0.053908358037468754,0.07716747201561382,0.07454568473423112
7,0.15621449906840057,0.11206226891753554,0.11016508426663815,0.08054008998345837
8,0.03944836057481702,0.04484144698530993,0.06465469866568219,0.055420784332525626
9,0.00467764024013629,0.053982956637641466,0.044538574665696815,0.0169461843638549
