Cause	Effect	Regulators	Mediators
b3357	b3301		b0145
b3357	b3302		b0145
b3357	b3303		b0145
b3357	b3304		b0145
b3357	b3305		b0145
b3357	b3306		b0145
b3357	b3307		b0145
b3357	b3308		b0145
b3357	b3309		b0145
b3357	b3310		b0145
b3357	b3460		b0145
b3357	b4254		b0145
b3357	b3403	b0080	b4124
b3357	b4138		b4124
b3357	b4139		b4124
b3357	b0620		b4124
b3357	b0619		b4124
b3357	b4151		b4124
b3357	b4152		b4124
b3357	b4153		b4124
b3357	b4154		b4124
b3357	b4122	b3261	b4124
b3357	b4123		b4124
b3357	b3528		b4124
b3357	b3721		b3723
b3357	b3722		b3723
b3357	b4268		b4264
b3357	b4476		b4264
b3357	b3437		b4264
b3357	b4265		b4264
b3357	b4266		b4264
b3357	b4267		b4264
b3357	b4358		b4324
b3357	b4357		b4324
b3357	b3094		b4324
b3357	b4321		b4324
b3357	b1615		b4324
b3357	b1616		b4324
b3357	b1617		b4324
b3357	b4323		b4324
b3357	b4322		b4324
b3357	b4057		b3512
b3357	b4056		b3512
b3357	b3508		b3512
b3357	b3509		b3512
b3357	b3510		b3512
b3357	b1923		b3512
b3357	b3515		b3512
b3357	b0181		b3512
b3357	b0180		b3512
b3357	b0179		b3512
b3357	b0178		b3512
b3357	b4177		b3512
b3357	b3511		b3512
b3357	b2029		b3512
b3357	b4718		b3512
b3357	b3514		b3512
b3357	b3513		b3512
b3357	b0428	b3261 // b0080	b3512
b3357	b0429	b3261 // b0080	b3512
b3357	b0430	b3261 // b0080	b3512
b3357	b0431	b3261 // b0080	b3512
b3357	b0432	b3261 // b0080	b3512
b3357	b1951		b3512
b3357	b3212		b3512
b3357	b3213		b3512
b3357	b3214		b3512
b3357	b0889		b3512
b3357	b1492	b3261	b3512
b3357	b1493	b3261	b3512
b3357	b3491		b3512
b3357	b3800		b3512
b3357	b3507		b3512
b3357	b3506		b3512
b3357	b4131		b3512
b3357	b4132		b3512
b3357	b4115		b3512
b3357	b3516	b3261	b3512
b3357	b3517	b3261	b3512
b3357	b0335	b0080	b0330
b3357	b0334	b0080	b0330
b3357	b0333	b0080	b0330
b3357	b0331	b0080	b0330
b3357	b2975		b2980
b3357	b2976		b2980
b3357	b2977		b2980
b3357	b4467		b2980
b3357	b4468		b2980
b3357	b2979		b2980
b3357	b1531		b1530
b3357	b1532		b1530
b3357	b1167		b1531
b3357	b1166		b1531
b3357	b1165		b1531
b3357	b1164		b1531
b3357	b0342		b1531
b3357	b0343		b1531
b3357	b0344		b1531
b3357	b2509		b1531
b3357	b3195		b1531
b3357	b3194		b1531
b3357	b3193		b1531
b3357	b3192		b1531
b3357	b3191		b1531
b3357	b1415		b1531
b3357	b3160		b1531
b3357	b3028		b1531
b3357	b0168		b1531
b3357	b0167		b1531
b3357	b0166		b1531
b3357	b0762		b1531
b3357	b1452		b1531
b3357	b1276		b1531
b3357	b0853		b1531
b3357	b0852		b1531
b3357	b0851		b1531
b3357	b0850		b1531
b3357	b3624		b1531
b3357	b3625		b1531
b3357	b0447		b1531
b3357	b3038		b1531
b3357	b3037		b1531
b3357	b3035		b1531
b3357	b2237		b1531
b3357	b0578		b1531
b3357	b4177		b1531
b3357	b4396		b1531
b3357	b1852		b1531
b3357	b1530		b1531
b3357	b1532		b1531
b3357	b1611		b1531
b3357	b3908		b1531
b3357	b3507		b1531
b3357	b3506		b1531
b3357	b4439		b1531
b3357	b2159		b1531
b3357	b3924		b1531
b3357	b0952		b1531
b3357	b0951		b1531
b3357	b0950		b1531
b3357	b1014		b1531
b3357	b0871		b1531
b3357	b0463		b1531
b3357	b0462		b1531
b3357	b3508		b1531
b3357	b3509		b1531
b3357	b3510		b1531
b3357	b4471		b3118
b3357	b3113		b3118
b3357	b3114		b3118
b3357	b3115		b3118
b3357	b3116		b3118
b3357	b3117		b3118
b3357	b2801		b2805
b3357	b2802		b2805
b3357	b2803		b2805
b3357	b2804		b2805
b3357	b2799		b2805
b3357	b2800		b2805
b3357	b1083		b1891
b3357	b1082		b1891
b3357	b1878		b1891
b3357	b1879		b1891
b3357	b1880		b1891
b3357	b1904		b1891
b3357	b1073		b1891
b3357	b1074		b1891
b3357	b1075		b1891
b3357	b1076		b1891
b3357	b1077		b1891
b3357	b1078		b1891
b3357	b1079		b1891
b3357	b1080		b1891
b3357	b1081		b1891
b3357	b1070		b1891
b3357	b1071		b1891
b3357	b1072		b1891
b3357	b4763		b1891
b3357	b0652		b1891
b3357	b0653		b1891
b3357	b0654		b1891
b3357	b0655		b1891
b3357	b1943		b1891
b3357	b1942		b1891
b3357	b1941		b1891
b3357	b1940		b1891
b3357	b1939		b1891
b3357	b1938		b1891
b3357	b1937		b1891
b3357	b1924		b1891
b3357	b1925		b1891
b3357	b1926		b1891
b3357	b3525		b1891
b3357	b1194		b1891
b3357	b4070	b3261	b1891
b3357	b4071	b3261	b1891
b3357	b4072	b3261	b1891
b3357	b4073	b3261	b1891
b3357	b4074	b3261	b1891
b3357	b4075	b3261	b1891
b3357	b4076	b3261	b1891
b3357	b3236		b1891
b3357	b2148	b3261	b1891
b3357	b2149	b3261	b1891
b3357	b2150		b1891
b3357	b1920		b1891
b3357	b1921		b1891
b3357	b1922		b1891
b3357	b2712	b0080	b1891
b3357	b2713		b1891
b3357	b2194		b1891
b3357	b2195		b1891
b3357	b2196		b1891
b3357	b2197		b1891
b3357	b2198		b1891
b3357	b2199		b1891
b3357	b2200		b1891
b3357	b2201		b1891
b3357	b2202		b1891
b3357	b2203		b1891
b3357	b2204		b1891
b3357	b2205		b1891
b3357	b2206		b1891
b3357	b2207		b1891
b3357	b2208		b1891
b3357	b1944		b1891
b3357	b1945		b1891
b3357	b1946		b1891
b3357	b1947		b1891
b3357	b1948		b1891
b3357	b1949		b1891
b3357	b1950		b1891
b3357	b2241	b3261	b1891
b3357	b2242	b3261	b1891
b3357	b2243	b3261	b1891
b3357	b2826		b1891
b3357	b2825		b1891
b3357	b2824		b1891
b3357	b2823		b1891
b3357	b2822		b1891
b3357	b2737		b1891
b3357	b1083		b1892
b3357	b1082		b1892
b3357	b1878		b1892
b3357	b1879		b1892
b3357	b1880		b1892
b3357	b1904		b1892
b3357	b1073		b1892
b3357	b1074		b1892
b3357	b1075		b1892
b3357	b1076		b1892
b3357	b1077		b1892
b3357	b1078		b1892
b3357	b1079		b1892
b3357	b1080		b1892
b3357	b1081		b1892
b3357	b1070		b1892
b3357	b1071		b1892
b3357	b1072		b1892
b3357	b4763		b1892
b3357	b0652		b1892
b3357	b0653		b1892
b3357	b0654		b1892
b3357	b0655		b1892
b3357	b1943		b1892
b3357	b1942		b1892
b3357	b1941		b1892
b3357	b1940		b1892
b3357	b1939		b1892
b3357	b1938		b1892
b3357	b1937		b1892
b3357	b1924		b1892
b3357	b1925		b1892
b3357	b1926		b1892
b3357	b3525		b1892
b3357	b1194		b1892
b3357	b4070	b3261	b1892
b3357	b4071	b3261	b1892
b3357	b4072	b3261	b1892
b3357	b4073	b3261	b1892
b3357	b4074	b3261	b1892
b3357	b4075	b3261	b1892
b3357	b4076	b3261	b1892
b3357	b3236		b1892
b3357	b2148	b3261	b1892
b3357	b2149	b3261	b1892
b3357	b2150		b1892
b3357	b1920		b1892
b3357	b1921		b1892
b3357	b1922		b1892
b3357	b2712	b0080	b1892
b3357	b2713		b1892
b3357	b2194		b1892
b3357	b2195		b1892
b3357	b2196		b1892
b3357	b2197		b1892
b3357	b2198		b1892
b3357	b2199		b1892
b3357	b2200		b1892
b3357	b2201		b1892
b3357	b2202		b1892
b3357	b2203		b1892
b3357	b2204		b1892
b3357	b2205		b1892
b3357	b2206		b1892
b3357	b2207		b1892
b3357	b2208		b1892
b3357	b1944		b1892
b3357	b1945		b1892
b3357	b1946		b1892
b3357	b1947		b1892
b3357	b1948		b1892
b3357	b1949		b1892
b3357	b1950		b1892
b3357	b2241	b3261	b1892
b3357	b2242	b3261	b1892
b3357	b2243	b3261	b1892
b3357	b2826		b1892
b3357	b2825		b1892
b3357	b2824		b1892
b3357	b2823		b1892
b3357	b2822		b1892
b3357	b2737		b1892
b3357	b2702		b2706
b3357	b2703		b2706
b3357	b2704		b2706
b3357	b2705		b2706
b3357	b2707		b2706
b3357	b2708		b2706
b3357	b2702		b2707
b3357	b2703		b2707
b3357	b2704		b2707
b3357	b2705		b2707
b3357	b2706		b2707
b3357	b2708		b2707
b3357	b3906		b3905
b3357	b3902		b3905
b3357	b3903		b3905
b3357	b3904		b3905
b3357	b3907		b3905
b3357	b3905		b3906
b3357	b0403		b3418
b3357	b3571		b3418
b3357	b4035		b3418
b3357	b4036		b3418
b3357	b4037		b3418
b3357	NIL	b3261	b3418
b3357	b4032	b3261	b3418
b3357	b4033	b3261	b3418
b3357	b4034	b3261	b3418
b3357	b3416		b3418
b3357	b3417		b3418
b3357	b4005		b3753
b3357	b4006		b3753
b3357	b3748		b3753
b3357	b3749		b3753
b3357	b3750		b3753
b3357	b3751		b3753
b3357	b3752		b3753
b3357	b2065		b3753
b3357	b2066		b3753
