Effect	Mediator	Causes	Regulators
EG10403	EG11544	EG11356 // G7072 // EG12242 // EG12243 // EG10061	EG11966 // EG10547 // EG10359 // EG10325 // EG10440 // EG10441
EG10404	EG11544	EG11356 // G7072 // EG12242 // EG12243 // EG10061	EG11966 // EG10547 // EG10359 // EG10325 // EG10440 // EG10441
EG11514	EG11544	EG11356 // G7072 // G6789 // EG12242 // EG12243 // EG10061	EG11966 // EG12386 // EG10547 // EG10359 // EG10325 // EG10440 // EG10441
EG10547	EG11544	EG11356 // G7072 // EG12242	G0-8867 // EG10547 // EG11212 // G7047
G6786	EG11544	EG10164 // EG10457 // G6789 // EG12243	EG11966 // EG10821 // EG10317
EG11490	EG11544	EG10164 // EG10457 // G7072 // G6789 // EG12242 // EG12243	EG11966 // EG10821 // EG10547 // EG10317
EG12228	EG11544	G7072 // G6789 // EG12242 // EG12243	EG10821 // EG10547
EG11889	EG11544	G6789 // EG12242 // EG12243	EG10821 // EG12386
EG10131	EG11544	G7072 // G6789 // EG12242 // EG12243	EG10821 // EG10547
EG10132	EG11544	G7072 // G6789 // EG12242 // EG12243	EG10821 // EG10547
EG12462	EG11544	G6789 // EG12242 // EG12243	EG10728 // EG10821
EG12243	EG11544	EG10164 // EG10457 // G7072 // G6789 // EG12242 // EG12243 // EG10061	EG11966 // EG12615 // G0-8914 // EG10728 // EG12301 // EG10821 // EG12386 // EG10325 // EG10317
EG50009	EG11544	EG10164 // EG10457 // G7072 // G6789 // EG12242 // EG12243 // EG10061	EG11966 // EG12615 // EG10821 // EG10325 // EG10317
EG10841	EG10320	EG10820 // EG10672 // EG11356	EG10319 // G7072
EG11781	EG10320	EG10440 // EG11356 // EG10164 // EG10457	EG10317 // EG10319 // EG11212
EG11945	EG10320	EG10440 // EG11356 // EG10164 // EG10457	EG10317 // EG10319 // EG11212
EG11946	EG10320	EG10440 // EG11356 // EG10164 // EG10457	EG10317 // EG10319 // EG11212
EG11947	EG10320	EG10440 // EG11356 // EG10164 // EG10457	EG10317 // EG10319 // EG11212
EG11948	EG10320	EG10440 // EG11356 // EG10164 // EG10457	EG10317 // EG10319 // EG11212
EG11949	EG10320	EG10440 // EG10820 // EG10672 // EG11356 // EG10164 // EG10457	EG10317 // EG10319 // G7072 // EG11212
EG11950	EG10320	EG10440 // EG10820 // EG10672 // EG11356 // EG10164 // EG10457	EG10317 // EG10319 // G7072 // EG11212
EG10576	EG10320	EG11356 // G0-8871	EG10061 // EG10319
EG10594	EG10320	EG11356 // EG10164 // EG10457	EG10317 // EG10319
EG10592	EG10320	EG10820 // EG10672 // EG11356 // G7947 // EG10164 // EG10457	EG10317 // EG12386 // EG10319 // G7072
EG10593	EG10320	EG10820 // EG10672 // EG11356	EG10319 // G7072
G7039	EG10320	EG10440 // EG11356	EG10319 // G6745 // G6546 // EG11212
EG11356	EG10320	EG10440 // EG11356	EG10319 // G6745 // G6546 // EG11212
EG11355	EG10320	EG10440 // EG12123 // EG11356 // G7575	EG10319 // G6745 // G6546 // EG10547 // EG11212
EG11551	EG10320	EG11356 // EG10164	EG10338 // EG10319
EG12052	EG10320	EG10820 // EG10672 // EG11356	EG10319 // G7072
EG12058	EG10320	EG10820 // EG10672 // EG11356	EG10319 // G7072
EG12059	EG10320	EG10820 // EG10672 // EG11356	EG10319 // G7072
EG12060	EG10320	EG10820 // EG10672 // EG11356	EG10319 // G7072
EG12061	EG10320	EG10820 // EG10672 // EG11356	EG10319 // G7072
EG12068	EG10320	EG12123 // EG11356 // G7575	EG10319 // EG10547
EG10391	EG10320	EG11356 // G0-8871 // EG10164 // EG10457	EG10317 // EG10061 // EG10319
EG10392	EG10320	EG11356 // G0-8871 // EG10164 // EG10457	EG10317 // EG10061 // EG10319
EG10393	EG10320	EG11356 // G0-8871 // EG10164 // EG10457	EG10317 // EG10061 // EG10319
EG11155	EG10320	EG10820 // EG10672 // EG11356	EG10319 // G7072
EG11154	EG10320	EG10820 // EG10672 // EG11356	EG10319 // G7072
EG12242	EG12243	G7072 // EG12242 // EG11544 // G0-8914	EG10935 // EG10731 // G6789 // EG10547
G0-8914	EG12243	G7072 // EG12242 // G0-8914	EG10935 // EG10547
G0-16680	EG12243	EG12242 // EG11544	G0-10694 // EG11609 // EG11356 // EG10731 // G6789
EG12241	EG12243	EG12242 // EG11544	EG11609 // EG11356 // G6789
EG12240	EG12243	EG12242 // EG11544	EG11609 // EG11356 // G6789
