Effect	Mediator	Causes	Regulators
G6545	EG11356	G6546 // EG10319 // EG10320	EG10125 // G6444 // EG11615 // EG10338 // EG12008 // EG10672 // EG10164 // G0-8880 // G0-10592 // G0-8867 // G0-8863 // G0-8899 // G0-8882 // G0-8868 // EG12006 // G7571 // EG10020 // EG10821 // EG10820 // G6864
G6546	EG11356	G6546 // EG10319 // EG10320	EG10125 // G6444 // EG11615 // EG10338 // EG12008 // EG10672 // EG10164 // G0-8880 // G0-10592 // G0-8867 // G0-8863 // G0-8899 // G0-8882 // G0-8868 // EG12006 // G7571 // EG10020 // EG10821 // EG10820 // G6864
G6786	EG11356	G6546 // EG10319 // EG10320 // EG10457	EG10317 // EG12243 // EG10164 // EG10821
EG11490	EG11356	G6546 // EG10319 // EG10320 // EG10457	EG10317 // EG12243 // EG10164 // EG10821
EG10319	EG11356	G6546 // EG10319 // EG10320	G7575 // G0-8871 // EG31116 // EG12116 // G7947 // EG12123 // EG11449 // EG10359 // EG10672 // EG10164 // G0-8899 // G0-8882 // G0-8868 // EG10821 // EG10820
EG10320	EG11356	G6546 // EG10319 // EG10320	G7575 // G0-8871 // EG31116 // EG12116 // G7947 // EG12123 // EG11449 // EG10359 // EG10672 // EG10164 // G0-8899 // G0-8882 // G0-8868 // EG10821 // EG10820
EG11400	EG11356	G6546 // EG10319 // EG10320 // EG10457	EG12243 // EG10821
EG11399	EG11356	G6546 // EG10319 // EG10320 // EG10457	EG12243 // EG10821
EG11398	EG11356	G6546 // EG10319 // EG10320 // EG10457	EG12243 // EG10821
G0-16680	EG11356	G6546 // EG10319 // EG10320 // EG10457	EG12243 // EG10164
EG12241	EG11356	G6546 // EG10319 // EG10320 // EG10457	EG12243 // EG10164
EG12240	EG11356	G6546 // EG10319 // EG10320 // EG10457	EG12243 // EG10164
EG11544	EG11356	G6546 // EG10319 // EG10320 // EG10457	EG12243 // EG10164
EG12360	G7072	EG10359 // EG10547 // EG10385	EG10317 // EG10457 // EG10164
EG10989	G7072	EG10325 // EG10359 // EG10385	EG10164 // EG10440 // EG10441
EG10979	G7072	EG10325 // EG10359 // EG10385	EG10164 // G0-8872 // EG10440 // EG10441 // EG10061
EG10974	G7072	EG10359 // EG10547 // EG10385	EG10457 // EG10164
EG10933	G7072	EG10325 // EG10359 // EG10385	EG10164 // G0-8872 // EG10061
EG11179	G7072	EG10359 // EG10547 // EG10385	EG10317 // EG10070 // EG10164
EG11391	G7072	EG10325 // EG10359 // EG10385	EG10317 // EG10164 // EG10440 // EG10441 // EG10061
EG10672	G7072	EG10325 // EG10359 // EG10385	EG10164 // EG10440 // EG10441
EG10671	G7072	EG10325 // EG10359 // EG10385	EG30063 // EG10164 // EG10440 // EG10441
EG10665	G7072	EG10359 // EG10547 // EG10385	EG10317 // EG10070 // EG10164
EG11950	G7072	EG10325 // EG10547 // EG10385	EG10317 // EG11212 // EG10440 // EG10441
EG11949	G7072	EG10325 // EG10547 // EG10385	EG10317 // EG11212 // EG10440 // EG10441
EG10642	G7072	EG10325 // EG10385	EG10317 // EG10440 // EG10441
G7676	G7072	EG10359 // EG10385	EG10317 // EG10164
EG10637	G7072	EG10359 // EG10385	EG10317 // EG10164
EG10153	G7072	EG10325 // EG10547	EG11212 // EG10061
EG10592	G7072	EG10359 // EG10385	EG10317 // EG10164
EG30061	G7072	EG10359 // EG10547 // EG10385	EG10317 // EG10070 // EG10164
EG12240	G7072	EG10359 // EG10547 // EG10385	EG11544 // EG10457 // EG10164
EG11435	G7072	EG10359 // EG10385	EG10317 // EG10164 // EG10958
EG10466	G7072	EG10359 // EG10385	EG10317 // EG10164
EG10402	G7072	EG10325 // EG10359 // EG10385	EG10164 // EG10440 // EG10441 // EG10061
EG12414	G7072	EG10325 // EG10359 // EG10385	EG10164 // EG10061
EG12243	G7072	EG10325 // EG10359 // EG10547 // EG10385	EG10317 // EG11544 // EG10457 // EG10164 // EG10061
EG11544	G7072	EG10325 // EG10359 // EG10547 // EG10385	EG11544 // EG10457 // EG10164 // EG10061
G7961	G7072	EG10359 // EG10547 // EG10385	EG11212 // EG10164
EG10173	G7072	EG10325 // EG10547	EG10457 // EG10061
G7329	G7072	EG10359 // EG10547 // EG10385	EG10457 // EG10164
G7394	G7072	EG10325 // EG10359 // EG10547 // EG10385	EG10457 // EG10164 // EG10061
G6088	G7072	EG10359 // EG10547 // EG10385	EG10457 // EG10164
EG10114	G7072	EG10359 // EG10547 // EG10385	EG10317 // EG10457 // EG10164
EG10046	G7072	EG10359 // EG10385	EG10317 // EG10164
EG10023	G7072	EG10325 // EG10359 // EG10385	EG10164 // EG10440 // EG10441 // EG10061
G6706	G7072	EG10359 // EG10547 // EG10385	EG11212 // EG10164
EG11330	G7072	EG10359 // EG10547 // EG10385	EG10457 // EG10164
EG10361	G7072	EG10359 // EG10547 // EG10385	EG10457 // EG10164
EG11329	G7072	EG10359 // EG10547 // EG10385	EG10457 // EG10164
EG11971	G7072	EG10325 // EG10359 // EG10385	EG10164 // EG10061
EG10403	G7072	EG10325 // EG10359 // EG10547 // EG10385	EG11544 // EG10070 // EG10164 // EG10440 // EG10441
EG10404	G7072	EG10325 // EG10359 // EG10547 // EG10385	EG11544 // EG10070 // EG10164 // EG10440 // EG10441
EG11514	G7072	EG10325 // EG10359 // EG10547 // EG10385	EG11544 // EG10070 // EG10164 // EG10440 // EG10441
EG11514	EG10531	G7072 // EG10547 // EG11554	EG11544 // EG10070 // EG10359 // EG10325
G6423	EG10547	EG30063 // EG11544	EG10164 // EG11366
EG11370	EG10547	EG10070 // G7072 // G0-8867 // EG30063 // EG11544	EG10440 // EG10441 // EG10325 // EG10061
EG12732	EG10547	EG10070 // G0-8867 // EG30063 // EG11544	EG10672 // EG10061
EG10958	EG10547	G7072 // EG30063	EG10958 // EG12116 // EG10359 // EG10325
EG12341	EG10547	G7072 // EG30063 // G7047 // EG11544	EG10164 // EG10230 // EG10440 // EG10441 // EG10385
EG10835	EG10547	G7072 // EG11544	EG10164 // EG10385
EG11612	EG10547	EG10457 // EG11544	EG10164 // EG10317
EG10742	EG10547	EG10070 // G0-8867 // EG30063 // EG11544	EG10164 // EG10061
EG12082	EG10547	EG10070 // G7072 // EG10457 // G0-8867 // EG30063 // EG11544	EG10440 // EG10441 // EG10317 // EG10325 // EG10061
EG10566	EG10547	EG10070 // G0-8867 // EG30063 // EG11544	EG10164 // EG10061
EG10509	EG10547	G7072 // EG10457	EG10317 // EG10359
G7923	EG10547	G7072 // G7047	EG10230 // EG10325
G6619	EG10547	G7072 // EG10457 // G7047 // EG11544	EG10164 // EG10230 // EG10317 // EG10325
EG10389	EG10547	G7072 // EG10457 // EG30063	EG10440 // EG10441 // EG10317 // EG10385
EG10387	EG10547	G7072 // EG10457 // EG11544	EG10164 // EG10317 // EG10385
EG12191	EG10547	G7072 // EG10457 // EG11544	EG12243 // EG10385 // EG10359 // EG10325
EG10386	EG10547	G7072 // EG30063	EG10440 // EG10441 // EG10385
EG10383	EG10547	G7072 // EG10457 // EG11544	EG10164 // EG10317 // EG10385
G7542	EG10547	EG10070 // G0-8867 // EG30063 // EG11544	EG10440 // EG10441 // EG10061
EG10372	EG10547	G7072 // EG11544	EG10164 // EG10359 // EG10325
G0-8914	EG10547	EG10457 // EG11544	EG12242 // EG12243
EG12242	EG10547	G7072 // EG10457 // EG11544	EG10731 // EG12242 // G6789 // EG12243 // EG10325
EG11490	EG10547	EG10457 // EG11544	EG12242 // EG11356 // EG10164 // EG10317 // EG12243
EG10356	EG10547	EG10070 // G7072 // G0-8867 // EG30063 // EG11544	EG10164 // EG10325 // EG10061
EG10280	EG10547	EG10070 // G0-8867 // EG30063 // EG11544	EG10731 // EG10164 // EG11366 // EG10672 // EG10061
EG10248	EG10547	EG10070 // G7072 // G0-8867 // EG30063 // EG11544	EG10440 // EG10441 // EG10325 // EG10061
EG10220	EG10547	EG10457 // EG11544	EG10164 // EG10317
EG10012	EG10547	EG10070 // G7072 // G0-8867 // EG30063 // EG11544	EG10325 // EG10061
G6944	EG10547	G7072 // EG30063	EG11366 // EG10385
EG10072	EG10547	EG10070 // G7072 // G0-8867 // EG30063 // EG11544	EG10385 // EG10061
G7595	EG10547	G7072 // EG11544	EG10164 // EG10325
G7596	EG10547	G7072 // EG10457 // EG30063	EG10440 // EG10441 // EG10317 // EG10385
G6877	EG10547	EG10457 // EG30063 // EG11544	EG10672 // EG12243
EG11629	EG10547	EG10070 // G7072 // G0-8867 // EG30063 // EG11544	EG10385 // EG10061
EG10095	EG10547	G7072 // EG11544	EG10164 // EG10325
EG10046	EG10547	G7072 // EG10457 // EG11544	EG10164 // EG10317 // EG10325
EG10023	EG10547	EG10070 // G0-8867 // EG30063 // EG11544	EG10164 // EG10440 // EG10441 // EG10061
