TF	Target	Regulation
b0064	b4485	-
b0064	b4227	-
b2664	b0468	-
b2664	b4161	-
b1988	b2133	-
b1988	b2771	-
b1988	b3647	-
b3590	b3590	-
b3590	b3591	-
b1334	b1541	+
b2576	b3230	+
b2576	b3231	+
b3231	b3230	-
b3231	b3231	-
b2664	b1216	-
b3357	b2468	-
b1988	b1295	-
b3357	b2166	+
b3357	b2165	+
b1988	b1533	-
b0145	b2465	+
b0145	b2464	+
b1988	b1177	-
b1988	b1976	-
b1988	b0813	-
b1988	b1916	-
b2664	b2112	-
b1988	b2112	-
b1988	b3173	+
