R	U	V	W	X	Y
b1988	b3357	b3261	b3868	b3405	b1480
b1988	b3357	b4062	b0683	b3405	b3035
b1988	b3357	b4062	b0683	b3405	b4396
b1988	b3357	b4062	b0683	b3405	b4439
b1988	b1712	b4401	b1334	b3405	b4131
b1988	b1712	b4401	b1334	b3405	b4132
b1988	b1712	b0683	b1334	b3405	b3410
b1988	b1712	b0683 // b4401	b1334	b3405	b3408
b1988	b1712	b0683	b1334	b3405	b3409
b1988	b1712	b4401	b1334	b3405	b3089
b1988	b1712	b4401	b1334	b3405	b0221
b1988	b1712	b4401	b1334	b3405	b2344
b1988	b0912	b4401	b1334	b3405	b4131
b1988	b0912	b4401	b1334	b3405	b4132
b1988	b0912	b0683	b1334	b3405	b3410
b1988	b0912	b0683 // b4401	b1334	b3405	b3408
b1988	b0912	b0683	b1334	b3405	b3409
b1988	b0912	b4401	b1334	b3405	b3089
b1988	b0912	b4401	b1334	b3405	b0221
b1988	b0912	b4401	b1334	b3405	b2344
b4445	b3357	b1988	b3405	b3405	b0813
b4445	b3357	b1712 // b0912	b3405	b3405	b2215
b4445	b3357	b1988	b3405	b3405	b1024
b4445	b3357	b1988	b3405	b3405	b4411
b4445	b3357	b1712 // b0912	b3405	b3405	b1480
b4445	b3357	b1712 // b0912	b3405	b3405	b4439
b4445	b1712	b1988	b3405	b3405	b0813
b4445	b1712	b3357	b3405	b3405	b0113
b4445	b1712	b1988	b3405	b3405	b1024
b4445	b1712	b1988	b3405	b3405	b4411
b4445	b1712	b3357	b3405	b3405	b2344
b4445	b0912	b1988	b3405	b3405	b0813
b4445	b0912	b3357	b3405	b3405	b0113
b4445	b0912	b1988	b3405	b3405	b1024
b4445	b0912	b1988	b3405	b3405	b4411
b4445	b0912	b3357	b3405	b3405	b2344
b4445	b1988	b3357	b3405	b3405	b0113
b4445	b1988	b1712 // b0912	b3405	b3405	b2215
b4445	b1988	b1712 // b0912	b3405	b3405	b1480
b4445	b1988	b3357 // b1712 // b0912 // b4444	b3405	b3405	b1891
b4445	b1988	b3357 // b1712 // b0912 // b4444	b3405	b3405	b1892
b4445	b1988	b3357 // b1712 // b0912 // b4444	b3405	b3405	b1037
b4445	b1988	b3357 // b1712 // b0912 // b4444	b3405	b3405	b1038
b4445	b1988	b3357 // b1712 // b0912 // b4444	b3405	b3405	b1039
b4445	b1988	b3357 // b1712 // b0912 // b4444	b3405	b3405	b1040
b4445	b1988	b1712 // b0912	b3405	b3405	b4439
b4445	b1988	b3357 // b1712 // b0912	b3405	b3405	b0553
b4445	b1988	b3357	b3405	b3405	b2344
b4444	b3357	b1988	b3405	b3405	b0813
b4444	b3357	b1712 // b0912	b3405	b3405	b2215
b4444	b3357	b1988	b3405	b3405	b1024
b4444	b3357	b1988	b3405	b3405	b4411
b4444	b3357	b1712 // b0912	b3405	b3405	b1480
b4444	b3357	b1712 // b0912	b3405	b3405	b4439
b4444	b1712	b1988	b3405	b3405	b0813
b4444	b1712	b3357	b3405	b3405	b0113
b4444	b1712	b1988	b3405	b3405	b1024
b4444	b1712	b1988	b3405	b3405	b4411
b4444	b1712	b3357	b3405	b3405	b2344
b4444	b0912	b1988	b3405	b3405	b0813
b4444	b0912	b3357	b3405	b3405	b0113
b4444	b0912	b1988	b3405	b3405	b1024
b4444	b0912	b1988	b3405	b3405	b4411
b4444	b0912	b3357	b3405	b3405	b2344
b4444	b1988	b3357	b3405	b3405	b0113
b4444	b1988	b1712 // b0912	b3405	b3405	b2215
b4444	b1988	b1712 // b0912	b3405	b3405	b1480
b4444	b1988	b3357 // b1712 // b0912 // b4445	b3405	b3405	b1891
b4444	b1988	b3357 // b1712 // b0912 // b4445	b3405	b3405	b1892
b4444	b1988	b3357 // b1712 // b0912 // b4445	b3405	b3405	b1037
b4444	b1988	b3357 // b1712 // b0912 // b4445	b3405	b3405	b1038
b4444	b1988	b3357 // b1712 // b0912 // b4445	b3405	b3405	b1039
b4444	b1988	b3357 // b1712 // b0912 // b4445	b3405	b3405	b1040
b4444	b1988	b1712 // b0912	b3405	b3405	b4439
b4444	b1988	b3357 // b1712 // b0912	b3405	b3405	b0553
b4444	b1988	b3357	b3405	b3405	b2344
