,30,60,100,140,200
0,0.18333333333333712,0.18333333333333712,0.18333333333333712,0.18333333333333712,0.18333333333333712
1,0.6599999999999966,0.6599999999999966,0.6599999999999966,0.6599999999999966,0.6599999999999966
2,0.5,0.5,0.5,0.5,0.5
3,0.07333333333332348,0.07333333333332348,0.07333333333332348,0.07333333333332348,0.07333333333332348
4,0.12000000000000455,0.12000000000000455,0.12000000000000455,0.12000000000000455,0.12000000000000455
5,0.38333333333332575,0.38333333333332575,0.38333333333332575,0.38333333333332575,0.38333333333332575
6,0.5100000000000051,0.5100000000000051,0.5100000000000051,0.5100000000000051,0.5100000000000051
7,0.403333333333336,0.403333333333336,0.403333333333336,0.403333333333336,0.403333333333336
8,0.013333333333335418,0.013333333333335418,0.013333333333335418,0.013333333333335418,0.013333333333335418
9,0.2666666666666657,0.2666666666666657,0.2666666666666657,0.2666666666666657,0.2666666666666657
